Mars Year,Mission subphase,Sol,Ls,Centroid longitude,Centroid latitude,Area (square km),Member ID,Sequence ID,Maximum latitude,Minimum latitude,Confidence interval,Missing data,id,terrestrial_date,sol,ls,month,min_temp,max_temp,pressure,wind_speed,atmo_opacity,martian_year
24.0,m02,1.0,150.0,-93.75,-50.3,2388263.2,m02_001,,-38.2,-60.0,75.0,yes,,,,,,,,,,,
24.0,m02,1.0,150.0,-151.35,-42.1,1362738.9,m02_002,,-29.5,-52.7,75.0,no,,,,,,,,,,,
24.0,m02,1.0,150.0,50.35,-41.7,437124.03,m02_004,,-33.2,-49.8,75.0,no,,,,,,,,,,,
24.0,m02,1.0,150.0,21.05,-51.5,1151823.1,m02_005,,-41.7,-59.1,50.0,no,,,,,,,,,,,
24.0,m02,1.0,150.0,131.35,-45.8,264336.75,m02_009,,-41.3,-50.6,75.0,no,,,,,,,,,,,
24.0,m02,1.0,150.0,173.55,-24.1,1217921.5,m02_010,,-13.7,-36.7,50.0,no,,,,,,,,,,,
24.0,m02,1.0,150.0,70.05,-38.7,520325.28,m02_003,,-29.1,-48.3,75.0,no,,,,,,,,,,,
24.0,m02,2.0,150.0,-142.85,-44.2,1129445.9,m02_002,,-38.8,-50.4,75.0,no,,,,,,,,,,,
24.0,m02,2.0,150.0,40.15,-40.0,142144.97,m02_008,,-36.8,-43.5,75.0,no,,,,,,,,,,,
24.0,m02,2.0,150.0,170.85,-34.2,59402.16,m02_011,,-31.6,-36.9,75.0,no,,,,,,,,,,,
24.0,m02,2.0,150.0,-141.25,44.8,93040.289,m02_012,,48.5,41.1,100.0,no,,,,,,,,,,,
24.0,m02,2.0,150.0,140.25,-29.7,175087.53,m02_015,,-22.1,-34.8,50.0,no,,,,,,,,,,,
24.0,m02,2.0,150.0,78.75,-36.2,627269.75,m02_003,,-23.9,-49.5,75.0,no,,,,,,,,,,,
24.0,m02,2.0,150.0,-14.65,57.7,167730.86,m02_019,,59.7,55.2,50.0,yes,,,,,,,,,,,
24.0,m02,2.0,150.0,56.35,-45.6,189072.25,m02_004,,-41.1,-49.6,75.0,no,,,,,,,,,,,
24.0,m02,3.0,151.0,-153.25,-44.7,1017151.1,m02_002,,-30.5,-52.7,75.0,no,,,,,,,,,,,
24.0,m02,3.0,151.0,-166.35,-34.2,188918.72,m02_006,,-31.2,-37.7,100.0,no,,,,,,,,,,,
24.0,m02,3.0,151.0,-79.95,-37.3,256709.78,m02_007,,-32.0,-41.4,100.0,no,,,,,,,,,,,
24.0,m02,3.0,151.0,45.95,-43.8,868824.38,m02_008,,-33.2,-52.2,75.0,no,,,,,,,,,,,
24.0,m02,3.0,151.0,157.85,-45.8,105126.05,m02_013,,-42.4,-48.9,100.0,no,,,,,,,,,,,
24.0,m02,3.0,151.0,157.55,-32.7,511452.22,m02_015,,-21.2,-39.6,75.0,no,,,,,,,,,,,
24.0,m02,3.0,151.0,66.85,-32.4,102765.38,m02_017,,-29.7,-35.4,75.0,no,,,,,,,,,,,
24.0,m02,3.0,151.0,-84.35,-29.0,38250.801,m02_018,,-27.0,-30.8,100.0,no,,,,,,,,,,,
24.0,m02,3.0,151.0,-11.05,57.5,102456.86,m02_019,,59.7,54.4,50.0,yes,,,,,,,,,,,
24.0,m02,4.0,151.0,-142.25,43.8,82893.07,m02_014,,47.4,40.3,100.0,no,,,,,,,,,,,
24.0,m02,4.0,151.0,-164.65,-19.7,1065380.9,m02_016,,-4.1,-33.1,75.0,no,,,,,,,,,,,
24.0,m02,4.0,151.0,104.65,-46.4,801476.81,m02_020,,-33.9,-58.3,75.0,no,,,,,,,,,,,
24.0,m02,4.0,151.0,82.65,-37.1,560688.19,m02_021,,-25.7,-48.3,75.0,no,,,,,,,,,,,
