Mars Year,Mission subphase,Sol,Ls,Centroid longitude,Centroid latitude,Area (square km),Member ID,Sequence ID,Maximum latitude,Minimum latitude,Confidence interval,Missing data,id,terrestrial_date,sol,ls,month,min_temp,max_temp,pressure,wind_speed,atmo_opacity,martian_year,Ls_rad,sin_Ls,cos_Ls,dust_storm_active,area_7sol_avg,area_30sol_avg,dust_storm_intensity,avg_temp,distance_from_equator,northern_hemisphere,southern_hemisphere,Area (square km)_lag1,Area (square km)_lag7,pressure_lag1,pressure_lag7,avg_temp_lag1,avg_temp_lag7,wind_speed_lag1,wind_speed_lag7,Area (square km)_7sol_std,pressure_7sol_std,avg_temp_7sol_std,wind_speed_7sol_std
31.0,D01,5.0,120.0,-18.95,-23.45,178101.02,D01_009,,-19.15,-27.95,75.0,no,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,,,1,-52.5,23.45,0,1,,,,,,,,,,,,
31.0,D01,5.0,120.0,-18.95,-23.45,178101.02,D01_009,,-19.15,-27.95,75.0,no,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,,,1,-52.0,23.45,0,1,178101.02,,776.0,,-52.5,,29.129165124598853,,,,,
31.0,D01,5.0,120.0,-124.95,-42.15,39148.613,D01_011,,-40.55,-43.35,50.0,yes,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,,,0,-52.5,42.15,0,1,178101.02,,777.0,,-52.0,,29.129165124598853,,,,,
31.0,D01,5.0,120.0,-124.95,-42.15,39148.613,D01_011,,-40.55,-43.35,50.0,yes,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,128292.88657142858,,0,-52.0,42.15,0,1,39148.613,,776.0,,-52.5,,29.129165124598853,,64362.38513170701,0.53452248382485,0.26726124191242445,0.0
31.0,D01,5.0,120.0,-76.75,-29.75,172484.02,D01_012,,-26.75,-32.95,50.0,no,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,119790.29799999998,,1,-52.5,29.75,0,1,39148.613,,777.0,,-52.0,,29.129165124598853,,60501.343395177464,0.53452248382485,0.26726124191242445,0.0
31.0,D01,5.0,120.0,-76.75,-29.75,172484.02,D01_012,,-26.75,-32.95,50.0,no,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,105002.68914285713,,1,-52.0,29.75,0,1,172484.02,,776.0,,-52.5,,29.129165124598853,,56383.93832767518,0.53452248382485,0.26726124191242445,0.0
31.0,D01,6.0,120.0,-16.95,-23.45,118582.9,D01_009,,-20.15,-27.35,75.0,no,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,110065.42414285715,,1,-52.5,23.45,0,1,172484.02,,777.0,,-52.0,,29.129165124598853,,50799.902723116196,0.53452248382485,0.26726124191242445,0.0
31.0,D01,6.0,120.0,-16.95,-23.45,118582.9,D01_009,,-20.15,-27.35,75.0,no,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,116073.78971428573,,1,-52.0,23.45,0,1,118582.9,178101.02,776.0,776.0,-52.5,-52.5,29.129165124598853,29.129165124598853,42884.88878431415,0.53452248382485,0.26726124191242445,0.0
31.0,D01,6.0,120.0,-97.35,-28.85,74587.758,D01_010,,-24.05,-33.35,75.0,no,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,103034.23999999999,,0,-52.5,28.85,0,1,118582.9,178101.02,777.0,777.0,-52.0,-52.0,29.129165124598853,29.129165124598853,36235.43401364997,0.53452248382485,0.26726124191242445,0.0
31.0,D01,6.0,120.0,-97.35,-28.85,74587.758,D01_010,,-24.05,-33.35,75.0,no,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,98946.73285714285,,0,-52.0,28.85,0,1,74587.758,39148.613,776.0,776.0,-52.5,-52.5,29.129165124598853,29.129165124598853,27705.27470377446,1.0690449676496911,1.4392458342578491,0.021762313711924105
31.0,D01,6.0,120.0,-123.15,-43.65,81207.172,D01_011,,-41.75,-45.45,50.0,yes,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,102559.3857142857,,0,-52.5,43.65,0,1,74587.758,39148.613,777.0,777.0,-52.0,-52.0,29.129165124598853,29.129165124598853,32007.258554632725,1.1547005383792437,1.4556948921555029,0.028095026193740748
31.0,D01,6.0,120.0,-123.15,-43.65,81207.172,D01_011,,-41.75,-45.45,50.0,yes,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,29.129165124598853,Sunny,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,1,117483.17714285714,,0,-52.0,43.65,0,1,81207.172,172484.02,776.0,776.0,-52.5,-52.5,29.129165124598853,29.129165124598853,56048.86397686699,1.272418020560701,1.779513042005221,0.030776559200020013
