Mars Year,Mission subphase,Sol,Ls,Centroid longitude,Centroid latitude,Area (square km),Member ID,Sequence ID,Maximum latitude,Minimum latitude,Confidence interval,Missing data,id,terrestrial_date,sol,ls,month,min_temp,max_temp,pressure,wind_speed,atmo_opacity,martian_year,Ls_rad,sin_Ls,cos_Ls,avg_temp,pressure_diff,temp_diff,pressure_diff_norm,temp_diff_norm,temp_range,dust_storm_intensity,distance_from_equator,northern_hemisphere,southern_hemisphere,pressure_lag1,pressure_lag7,pressure_7sol_std,avg_temp_lag1,avg_temp_lag7,avg_temp_7sol_std,wind_speed_lag1,wind_speed_lag7,wind_speed_7sol_std,Area (square km)_lag1,Area (square km)_lag7,Area (square km)_7sol_std
31.0,D01,5.0,120.0,-18.95,-23.45,178101.02,D01_009,,-19.15,-27.95,75.0,no,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.5,,65.0,,0.5161290322580645,65.0,0,23.45,1,0,,,,,,,,,,,,
31.0,D01,5.0,120.0,-18.95,-23.45,178101.02,D01_009,,-19.15,-27.95,75.0,no,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,8.903823178016726,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.0,1.0,64.0,0.009259259259259259,0.4838709677419355,64.0,0,23.45,1,0,776.0,,,-52.5,,,,,,178101.02,,
31.0,D01,5.0,120.0,-124.95,-42.15,39148.613,D01_011,,-40.55,-43.35,50.0,yes,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,9.355436081242534,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.5,1.0,65.0,0.009259259259259259,0.5161290322580645,65.0,0,42.15,1,0,777.0,,,-52.0,,,8.903823178016726,,,178101.02,,
31.0,D01,5.0,120.0,-124.95,-42.15,39148.613,D01_011,,-40.55,-43.35,50.0,yes,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,8.903823178016726,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.0,1.0,64.0,0.009259259259259259,0.4838709677419355,64.0,0,42.15,1,0,776.0,,0.53452248382485,-52.5,,0.26726124191242445,9.355436081242534,,,39148.613,,64362.38513170701
31.0,D01,5.0,120.0,-76.75,-29.75,172484.02,D01_012,,-26.75,-32.95,50.0,no,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,9.355436081242534,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.5,1.0,65.0,0.009259259259259259,0.5161290322580645,65.0,0,29.75,1,0,777.0,,0.53452248382485,-52.0,,0.26726124191242445,8.903823178016726,,0.2413972507596098,39148.613,,60501.343395177464
31.0,D01,5.0,120.0,-76.75,-29.75,172484.02,D01_012,,-26.75,-32.95,50.0,no,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,8.903823178016726,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.0,1.0,64.0,0.009259259259259259,0.4838709677419355,64.0,0,29.75,1,0,776.0,,0.53452248382485,-52.5,,0.26726124191242445,9.355436081242534,,0.2413972507596098,172484.02,,56383.93832767518
31.0,D01,6.0,120.0,-16.95,-23.45,118582.9,D01_009,,-20.15,-27.35,75.0,no,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,9.355436081242534,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.5,1.0,65.0,0.009259259259259259,0.5161290322580645,65.0,0,23.45,1,0,777.0,,0.53452248382485,-52.0,,0.26726124191242445,8.903823178016726,,0.2413972507596098,172484.02,,50799.902723116196
31.0,D01,6.0,120.0,-16.95,-23.45,118582.9,D01_009,,-20.15,-27.35,75.0,no,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,8.903823178016726,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.0,1.0,64.0,0.009259259259259259,0.4838709677419355,64.0,0,23.45,1,0,776.0,776.0,0.53452248382485,-52.5,-52.5,0.26726124191242445,9.355436081242534,,0.2413972507596098,118582.9,178101.02,42884.88878431415
31.0,D01,6.0,120.0,-97.35,-28.85,74587.758,D01_010,,-24.05,-33.35,75.0,no,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,9.355436081242534,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.5,1.0,65.0,0.009259259259259259,0.5161290322580645,65.0,0,28.85,1,0,777.0,777.0,0.53452248382485,-52.0,-52.0,0.26726124191242445,8.903823178016726,8.903823178016726,0.2413972507596098,118582.9,178101.02,36235.43401364997
31.0,D01,6.0,120.0,-97.35,-28.85,74587.758,D01_010,,-24.05,-33.35,75.0,no,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,8.903823178016726,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.0,1.0,64.0,0.009259259259259259,0.4838709677419355,64.0,0,28.85,1,0,776.0,776.0,1.0690449676496911,-52.5,-52.5,1.4392458342578491,9.355436081242534,9.355436081242534,1.0364153915880512,74587.758,39148.613,27705.27470377446
31.0,D01,6.0,120.0,-123.15,-43.65,81207.172,D01_011,,-41.75,-45.45,50.0,yes,554,2014-04-24,610,120,Month 5,-85.0,-20.0,776.0,9.355436081242534,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.5,1.0,65.0,0.009259259259259259,0.5161290322580645,65.0,0,43.65,1,0,777.0,777.0,1.1547005383792437,-52.0,-52.0,1.4556948921555029,8.903823178016726,8.903823178016726,1.0835845971822327,74587.758,39148.613,32007.258554632725
31.0,D01,6.0,120.0,-123.15,-43.65,81207.172,D01_011,,-41.75,-45.45,50.0,yes,552,2014-04-23,609,120,Month 5,-84.0,-20.0,777.0,8.903823178016726,Clear,31,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-52.0,1.0,64.0,0.009259259259259259,0.4838709677419355,64.0,0,43.65,1,0,776.0,776.0,1.272418020560701,-52.5,-52.5,1.779513042005221,9.355436081242534,9.355436081242534,1.3596350048135022,81207.172,172484.02,56048.86397686699
31.0,D01,7.0,121.0,-83.05,-31.65,143871.47,D01_013,,-27.85,-34.35,75.0,no,553,2014-04-26,612,121,Month 5,-85.0,-27.0,774.0,6.453405017921147,Clear,31,2.111848394913139,0.8571673007021123,-0.5150380749100543,-56.0,3.0,58.0,0.027777777777777776,0.2903225806451613,58.0,0,31.65,1,0,777.0,777.0,1.272418020560701,-52.0,-52.0,1.7251638983558888,8.903823178016726,8.903823178016726,1.2490483752903765,81207.172,172484.02,64555.368907166114
31.0,D01,7.0,121.0,-83.05,-31.65,143871.47,D01_013,,-27.85,-34.35,75.0,no,555,2014-04-25,611,121,Month 5,-84.0,-23.0,775.0,7.548984468339307,Clear,31,2.111848394913139,0.8571673007021123,-0.5150380749100543,-53.5,1.0,61.0,0.009259259259259259,0.3870967741935484,61.0,0,31.65,1,0,774.0,776.0,1.1547005383792743,-56.0,-52.5,1.7525491637693345,6.453405017921147,9.355436081242534,1.2852421110966539,143871.47,118582.9,72030.92193898825
