id,terrestrial_date,sol,ls,month,min_temp,max_temp,pressure,wind_speed,atmo_opacity,martian_year,Mars Year,Ls_rad,sin_Ls,cos_Ls,avg_temp,pressure_diff,temp_diff,pressure_diff_norm,temp_diff_norm,temp_range,dust_storm_intensity,distance_from_equator,northern_hemisphere,southern_hemisphere,pressure_lag1,pressure_lag7,pressure_7sol_std,avg_temp_lag1,avg_temp_lag7,avg_temp_7sol_std,wind_speed_lag1,wind_speed_lag7,wind_speed_7sol_std,Mission subphase,Sol,Ls,Centroid longitude,Centroid latitude,Area (square km),Member ID,Sequence ID,Maximum latitude,Minimum latitude,Confidence interval,Missing data,Area (square km)_lag1,Area (square km)_lag7,Area (square km)_7sol_std
1895,2018-02-27,1977,135,Month 5,-77.0,-10.0,727.0,,Clear,33,33,2.356194490192345,0.7071067811865476,-0.7071067811865475,-43.5,,67.0,,0.55,67.0,0,49.5,1,0,,,,,,,,,,0,0,0,49.5,49.5,0,,,49.5,49.5,,,0,0,0
1893,2018-02-26,1976,135,Month 5,-77.0,-10.0,728.0,10.400000000000002,Clear,33,33,2.356194490192345,0.7071067811865476,-0.7071067811865475,-43.5,1.0,67.0,0.05,0.55,67.0,0,49.5,1,0,727.0,,,-43.5,,,,,,0,0,0,49.5,49.5,0,,,49.5,49.5,,,0,0,0
1894,2018-02-25,1975,134,Month 5,-76.0,-16.0,729.0,7.95,Clear,33,33,2.3387411976724017,0.7193398003386511,-0.6946583704589974,-46.0,1.0,60.0,0.05,0.375,60.0,0,33.75,1,0,728.0,,,-43.5,,,10.400000000000002,,,0,0,0,33.75,33.75,0,,,33.75,33.75,,,0,0,0
1892,2018-02-24,1974,134,Month 5,-77.0,-13.0,729.0,8.649999999999999,Clear,33,33,2.3387411976724017,0.7193398003386511,-0.6946583704589974,-45.0,0.0,64.0,0.0,0.475,64.0,0,42.75,1,0,729.0,,1.345185418269076,-46.0,,1.573591584938885,7.95,,,0,0,0,42.75,42.75,0,,,42.75,42.75,,,0,0,0
1889,2018-02-23,1973,133,Month 5,-78.0,-18.0,730.0,7.95,Clear,33,33,2.321287905152458,0.7313537016191706,-0.6819983600624984,-48.0,1.0,60.0,0.05,0.375,60.0,0,33.75,1,0,729.0,,1.1126972805282946,-45.0,,1.3801311186847054,8.649999999999999,,1.0189864245088522,0,0,0,33.75,33.75,0,,,33.75,33.75,,,0,0,0
1891,2018-02-22,1972,133,Month 5,-78.0,-14.0,730.0,8.649999999999999,Clear,33,33,2.321287905152458,0.7313537016191706,-0.6819983600624984,-46.0,0.0,64.0,0.0,0.475,64.0,0,42.75,1,0,730.0,,1.1126972805282485,-48.0,,0.9449111825230614,7.95,,0.7123903424387509,0,0,0,42.75,42.75,0,,,42.75,42.75,,,0,0,0
1890,2018-02-21,1971,132,Month 5,-78.0,-13.0,731.0,9.700000000000001,Clear,33,33,2.303834612632515,0.7431448254773942,-0.6691306063588582,-45.5,1.0,65.0,0.05,0.5,65.0,0,45.0,1,0,730.0,,1.1126972805282485,-46.0,,1.0690449676496907,8.649999999999999,,1.0855106325289194,0,0,0,45.0,45.0,0,,,45.0,45.0,,,0,0,0
1888,2018-02-20,1970,132,Month 5,-77.0,-16.0,731.0,7.6000000000000005,Clear,33,33,2.303834612632515,0.7431448254773942,-0.6691306063588582,-46.5,0.0,61.0,0.0,0.4,61.0,0,36.0,1,0,731.0,727.0,1.397276262011447,-45.5,-43.5,0.9759000729485252,9.700000000000001,,1.122497216032183,0,0,0,36.0,36.0,0,,,36.0,36.0,,,0,0,0
1887,2018-02-19,1969,131,Month 5,-76.0,-16.0,732.0,7.95,Clear,33,33,2.2863813201125716,0.7547095802227721,-0.6560590289905072,-46.0,1.0,60.0,0.05,0.375,60.0,0,33.75,1,0,731.0,728.0,1.7728105208557312,-46.5,-43.5,0.8521681032463376,7.6000000000000005,10.400000000000002,1.1405408073950423,0,0,0,33.75,33.75,0,,,33.75,33.75,,,0,0,0
1886,2018-02-18,1968,131,Month 5,-76.0,-19.0,732.0,6.2,Clear,33,33,2.2863813201125716,0.7547095802227721,-0.6560590289905072,-47.5,0.0,57.0,0.0,0.3,57.0,0,27.0,1,0,732.0,729.0,1.7728105208556815,-46.0,-46.0,1.2392393980641,7.95,7.95,1.1405408073950423,0,0,0,27.0,27.0,0,,,27.0,27.0,,,0,0,0
1885,2018-02-17,1967,130,Month 5,-76.0,-15.0,734.0,9.0,Clear,33,33,2.2689280275926285,0.766044443118978,-0.6427876096865394,-45.5,2.0,61.0,0.1,0.4,61.0,0,36.0,1,0,732.0,729.0,1.9023794624224633,-47.5,-45.0,1.2149857925879064,6.2,8.649999999999999,0.8972179222463185,0,0,0,36.0,36.0,0,,,36.0,36.0,,,0,0,0
1884,2018-02-16,1966,130,Month 5,-77.0,-18.0,735.0,7.6,Clear,33,33,2.2689280275926285,0.766044443118978,-0.6427876096865394,-47.5,1.0,59.0,0.05,0.35,59.0,0,31.5,1,0,734.0,730.0,1.9023794624223525,-45.5,-48.0,1.224744871391584,9.0,7.95,0.984039294608368,0,0,0,31.5,31.5,0,,,31.5,31.5,,,0,0,0
1883,2018-02-15,1965,129,Month 5,-76.0,-12.0,735.0,8.649999999999999,Clear,33,33,2.251474735072685,0.777145961456971,-0.6293203910498373,-44.0,0.0,64.0,0.0,0.475,64.0,0,42.75,1,0,735.0,730.0,1.976047040118265,-47.5,-46.0,1.224744871391584,7.6,8.649999999999999,1.0962055768270242,0,0,0,42.75,42.75,0,,,42.75,42.75,,,0,0,0
1882,2018-02-14,1964,129,Month 5,-76.0,-16.0,736.0,7.95,Clear,33,33,2.251474735072685,0.777145961456971,-0.6293203910498373,-46.0,1.0,60.0,0.05,0.375,60.0,0,33.75,1,0,735.0,731.0,2.0701966780264334,-44.0,-45.5,1.6035674514745422,8.649999999999999,9.700000000000001,0.8010409893798631,0,0,0,33.75,33.75,0,,,33.75,33.75,,,0,0,0
1881,2018-02-13,1963,128,Month 5,-77.0,-14.0,737.0,9.0,Clear,33,33,2.234021442552742,0.788010753606722,-0.6156614753256583,-45.5,1.0,63.0,0.05,0.45,63.0,0,40.5,1,0,736.0,731.0,2.1380899352986362,-46.0,-46.5,1.5773697214335085,7.95,7.6000000000000005,0.7675719293112989,0,0,0,40.5,40.5,0,,,40.5,40.5,,,0,0,0
1880,2018-02-12,1962,128,Month 5,-78.0,-14.0,738.0,9.350000000000001,Clear,33,33,2.234021442552742,0.788010753606722,-0.6156614753256583,-46.0,1.0,64.0,0.05,0.475,64.0,0,42.75,1,0,737.0,732.0,2.0816659994652507,-45.5,-46.0,1.4920423841803094,9.0,7.95,0.6958208581716055,0,0,0,42.75,42.75,0,,,42.75,42.75,,,0,0,0
1877,2018-02-11,1961,127,Month 5,-77.0,-21.0,740.0,7.25,Clear,33,33,2.2165681500327987,0.7986355100472927,-0.6018150231520484,-49.0,2.0,56.0,0.1,0.275,56.0,0,24.75,1,0,738.0,732.0,1.8644544714705198,-46.0,-47.5,1.214985792587907,9.350000000000001,6.2,0.724568837309474,0,0,0,24.75,24.75,0,,,24.75,24.75,,,0,0,0
1876,2018-02-09,1960,127,Month 5,-78.0,-14.0,740.0,8.649999999999999,Clear,33,33,2.2165681500327987,0.7986355100472927,-0.6018150231520484,-46.0,0.0,64.0,0.0,0.475,64.0,0,42.75,1,0,740.0,734.0,1.7043362064914167,-49.0,-45.5,1.5507294750413094,7.25,9.0,1.0303721010715838,0,0,0,42.75,42.75,0,,,42.75,42.75,,,0,0,0
1878,2018-02-08,1959,126,Month 5,-78.0,-15.0,740.0,8.3,Clear,33,33,2.199114857512855,0.8090169943749475,-0.587785252292473,-46.5,0.0,63.0,0.0,0.45,63.0,0,40.5,1,0,740.0,735.0,1.8898223650448795,-46.0,-47.5,1.4556948921554989,8.649999999999999,7.6,1.2916397846665058,0,0,0,40.5,40.5,0,,,40.5,40.5,,,0,0,0
1874,2018-02-07,1958,126,Month 5,-77.0,-14.0,741.0,9.0,Clear,33,33,2.199114857512855,0.8090169943749475,-0.587785252292473,-45.5,1.0,63.0,0.05,0.45,63.0,0,40.5,1,0,740.0,735.0,2.0586634591623008,-46.5,-44.0,1.5735915849388824,8.3,8.649999999999999,1.4124446891825544,0,0,0,40.5,40.5,0,,,40.5,40.5,,,0,0,0
1875,2018-02-06,1957,125,Month 5,-77.0,-21.0,742.0,6.55,Clear,33,33,2.181661564992912,0.8191520442889917,-0.5735764363510462,-49.0,1.0,56.0,0.05,0.275,56.0,0,24.75,1,0,741.0,736.0,2.2253945610555133,-45.5,-46.0,1.3972762620115404,9.0,7.95,1.4124446891825544,0,0,0,24.75,24.75,0,,,24.75,24.75,,,0,0,0
1879,2018-02-05,1956,125,Month 5,-79.0,-14.0,744.0,10.4,Clear,33,33,2.181661564992912,0.8191520442889917,-0.5735764363510462,-46.5,2.0,65.0,0.1,0.5,65.0,0,45.0,1,0,742.0,737.0,2.5071326821108304,-49.0,-45.5,1.6761634196950468,6.55,9.0,1.4206805880750735,0,0,0,45.0,45.0,0,,,45.0,45.0,,,0,0,0
1873,2018-02-04,1955,124,Month 5,-77.0,-21.0,745.0,6.55,Clear,33,33,2.1642082724729685,0.8290375725550417,-0.5591929034707467,-49.0,1.0,56.0,0.05,0.275,56.0,0,24.75,1,0,744.0,738.0,2.5071326821107176,-46.5,-46.0,2.3804761428476127,10.4,9.350000000000001,1.5389390284651747,0,0,0,24.75,24.75,0,,,24.75,24.75,,,0,0,0
1872,2018-02-03,1954,124,Month 5,-77.0,-17.0,745.0,7.25,Clear,33,33,2.1642082724729685,0.8290375725550417,-0.5591929034707467,-47.0,0.0,60.0,0.0,0.375,60.0,0,33.75,1,0,745.0,740.0,2.4299715851743247,-49.0,-49.0,2.0148259998133313,6.55,7.25,1.5217862311551298,0,0,0,33.75,33.75,0,,,33.75,33.75,,,0,0,0
1870,2018-02-02,1953,123,Month 5,-78.0,-22.0,747.0,7.25,Clear,33,33,2.1467549799530254,0.838670567945424,-0.5446390350150271,-50.0,2.0,56.0,0.1,0.275,56.0,0,24.75,1,0,745.0,740.0,2.267786838053565,-47.0,-46.0,2.17398033022161,7.25,8.649999999999999,1.6958282145704902,0,0,0,24.75,24.75,0,,,24.75,24.75,,,0,0,0
1871,2018-02-01,1952,123,Month 5,-80.0,-25.0,748.0,6.2,Clear,33,33,2.1467549799530254,0.838670567945424,-0.5446390350150271,-52.5,1.0,55.0,0.05,0.25,55.0,0,22.5,1,0,747.0,740.0,2.3401261667229623,-50.0,-46.5,1.9117431586805491,7.25,8.3,1.1405408073950423,0,0,0,22.5,22.5,0,,,22.5,22.5,,,0,0,0
1869,2018-01-31,1951,122,Month 5,-77.0,-23.0,749.0,5.8500000000000005,Clear,33,33,2.129301687433082,0.8480480961564261,-0.5299192642332048,-50.0,1.0,54.0,0.05,0.225,54.0,0,20.25,1,0,748.0,741.0,2.4102953780634486,-52.5,-45.5,1.9669894811736028,6.2,9.0,1.1507244095206588,0,0,0,20.25,20.25,0,,,20.25,20.25,,,0,0,0
1868,2018-01-30,1950,122,Month 5,-79.0,-15.0,750.0,9.350000000000001,Clear,33,33,2.129301687433082,0.8480480961564261,-0.5299192642332048,-47.0,1.0,64.0,0.05,0.475,64.0,0,42.75,1,0,749.0,742.0,1.799470821681941,-50.0,-49.0,1.7761649430055428,5.8500000000000005,6.55,1.1557825631723881,0,0,0,42.75,42.75,0,,,42.75,42.75,,,0,0,0
1867,2018-01-29,1949,121,Month 5,-78.0,-20.0,751.0,7.25,Clear,33,33,2.111848394913139,0.8571673007021123,-0.5150380749100543,-49.0,1.0,58.0,0.05,0.325,58.0,0,29.25,1,0,750.0,744.0,1.718249385965122,-47.0,-46.5,1.7525491637693225,9.350000000000001,10.4,1.2076147288491208,0,0,0,29.25,29.25,0,,,29.25,29.25,,,0,0,0
1866,2018-01-28,1948,121,Month 5,-78.0,-18.0,752.0,7.95,Clear,33,33,2.111848394913139,0.8571673007021123,-0.5150380749100543,-48.0,1.0,60.0,0.05,0.375,60.0,0,33.75,1,0,751.0,745.0,1.7182493859648929,-49.0,-49.0,1.107334852784133,7.25,6.55,1.1507244095206588,0,0,0,33.75,33.75,0,,,33.75,33.75,,,0,0,0
1865,2018-01-27,1947,120,Month 5,-78.0,-19.0,751.0,7.6,Clear,33,33,2.0943951023931953,0.8660254037844387,-0.4999999999999998,-48.5,1.0,59.0,0.05,0.35,59.0,0,31.5,1,0,752.0,745.0,1.7994708216813013,-48.0,-47.0,1.2051476890327317,7.95,7.25,0.877496438739214,0,0,0,31.5,31.5,0,,,31.5,31.5,,,0,0,0
