id,terrestrial_date,sol,ls,month,min_temp,max_temp,pressure,wind_speed,atmo_opacity,martian_year,Mars Year,Ls_rad,sin_Ls,cos_Ls,dust_storm_active,area_7sol_avg,area_30sol_avg,dust_storm_intensity,avg_temp,distance_from_equator,northern_hemisphere,southern_hemisphere,pressure_lag1,pressure_lag7,avg_temp_lag1,avg_temp_lag7,wind_speed_lag1,wind_speed_lag7,pressure_7sol_std,avg_temp_7sol_std,wind_speed_7sol_std,Mission subphase,Sol,Ls,Centroid longitude,Centroid latitude,Area (square km),Member ID,Sequence ID,Maximum latitude,Minimum latitude,Confidence interval,Missing data,Area (square km)_lag1,Area (square km)_lag7,Area (square km)_7sol_std
1895,2018-02-27,1977,135,Month 5,-77.0,-10.0,727.0,8.82842712474619,Sunny,33,33,2.356194490192345,0.7071067811865476,-0.7071067811865475,0,0,0,0,-43.5,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,2018-02-26,1976,135,Month 5,-77.0,-10.0,728.0,8.82842712474619,Sunny,33,33,2.356194490192345,0.7071067811865476,-0.7071067811865475,0,0,0,0,-43.5,0,0,0,727.0,,-43.5,,8.82842712474619,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,2018-02-25,1975,134,Month 5,-76.0,-16.0,729.0,8.877359201354604,Sunny,33,33,2.3387411976724017,0.7193398003386511,-0.6946583704589974,0,0,0,0,-46.0,0,0,0,728.0,,-43.5,,8.82842712474619,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892,2018-02-24,1974,134,Month 5,-77.0,-13.0,729.0,8.877359201354604,Sunny,33,33,2.3387411976724017,0.7193398003386511,-0.6946583704589974,0,0,0,0,-45.0,0,0,0,729.0,,-46.0,,8.877359201354604,,1.345185418269076,1.573591584938885,0.053582071799435284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,2018-02-23,1973,133,Month 5,-78.0,-18.0,730.0,8.925414806476683,Sunny,33,33,2.321287905152458,0.7313537016191706,-0.6819983600624984,0,0,0,0,-48.0,0,0,0,729.0,,-45.0,,8.877359201354604,,1.1126972805282946,1.3801311186847054,0.05335514677507672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1891,2018-02-22,1972,133,Month 5,-78.0,-14.0,730.0,8.925414806476683,Sunny,33,33,2.321287905152458,0.7313537016191706,-0.6819983600624984,0,0,0,0,-46.0,0,0,0,730.0,,-48.0,,8.925414806476683,,1.1126972805282485,0.9449111825230614,0.052592588592957415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,2018-02-21,1971,132,Month 5,-78.0,-13.0,731.0,8.972579301909576,Sunny,33,33,2.303834612632515,0.7431448254773942,-0.6691306063588582,0,0,0,0,-45.5,0,0,0,730.0,,-46.0,,8.925414806476683,,1.1126972805282485,1.0690449676496907,0.052361940477699646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,2018-02-20,1970,132,Month 5,-77.0,-16.0,731.0,8.972579301909576,Sunny,33,33,2.303834612632515,0.7431448254773942,-0.6691306063588582,0,0,0,0,-46.5,0,0,0,731.0,727.0,-45.5,-43.5,8.972579301909576,8.82842712474619,1.397276262011447,0.9759000729485252,0.05158709022578823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887,2018-02-19,1969,131,Month 5,-76.0,-16.0,732.0,9.018838320891089,Sunny,33,33,2.2863813201125716,0.7547095802227721,-0.6560590289905072,0,0,0,0,-46.0,0,0,0,731.0,728.0,-46.5,-43.5,8.972579301909576,8.82842712474619,1.7728105208557312,0.8521681032463376,0.051352789344356865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1886,2018-02-18,1968,131,Month 5,-76.0,-19.0,732.0,9.018838320891089,Sunny,33,33,2.2863813201125716,0.7547095802227721,-0.6560590289905072,0,0,0,0,-47.5,0,0,0,732.0,729.0,-46.0,-46.0,9.018838320891089,8.877359201354604,1.7728105208556815,1.2392393980641,0.050565883283774246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
